corpName,creditCode,companyType,periodCode,evaGrade,doScore
杭州市市政工程集团有限公司,91330100143032018Y,施工,,A,94
中交一公局集团有限公司,9.111E+17,施工,,AA,96
中铁大桥局集团有限公司,91420100177685789E,施工,,AA,97.2
张家港港丰交通安全设施有限公司,91320582608256004U,施工,,A,93
重庆市华驰交通科技有限公司,91500108450404096Q,施工,,A,93
中国葛洲坝集团三峡建设工程有限公司,91420000615573462P,施工,,AA,98.5
湖北工建基础设施建设有限公司,91420000177568101R,施工,,A,90
四川京川公路工程（集团）有限公司,91510100633114155W,施工,,A,94.5
中铁十四局集团有限公司,9.137E+17,施工,,AA,96
中铁大桥局集团有限公司,91420100177685789E,施工,,AA,95.9133
中交第二航务工程局有限公司,9.14201E+17,施工,,AA,96
中铁十一局集团有限公司,91420000179315087R,施工,,AA,95.5
中建铁路投资建设集团有限公司,91110115MA00E94N1C,施工,,AA,95.5
中国建筑第八工程局有限公司,9131000063126503X1,施工,,AA,100
中建交通建设集团有限公司,91110000681200816F,施工,,B,78
湖南同力交通实业有限责任公司,9.143E+17,施工,,A,93
襄阳路桥建设集团有限公司,9142060074179344XM,施工,,A,94
路安通智科技集团有限公司,9111010663379025X9,施工,,A,90
中交路桥建设有限公司,9111000059062789XU,施工,,AA,100
中铁五局集团有限公司,91520000214400165L,施工,,AA,99
中交建筑集团有限公司,9111000010123202XN,施工,,A,94
中铁十局集团有限公司,9.137E+17,施工,,AA,100
中铁六局集团有限公司,91110108101884765M,施工,,A,94
中铁一局集团有限公司,91610000220522345A,施工,,AA,100
中铁四局集团有限公司,9.134E+17,施工,,AA,99.3
中交第三航务工程局有限公司,91310104132660027E,施工,,AA,97.7
四川公路桥梁建设集团有限公司,9151000020181190XN,施工,,AA,96.1
上海市政工程设计研究总院（集团）有限公司,9.131E+17,设计,,AA,99.9
上海建工集团股份有限公司,91310000631189305E,施工,,AA,99.6
贵州桥梁建设集团有限责任公司,9152000021441265XG,施工,,AA,95
中铁二十一局集团有限公司,91620000224333621K,施工,,AA,99
中交一公局第四工程有限公司,9.14501E+17,施工,,AA,97
湖南路桥建设集团有限责任公司,91430000183763763N,施工,,A,94
湖南对外建设集团有限公司,91430000183767537H,施工,,A,94.8
中国建筑第八工程局有限公司,9131000063126503X1,施工,,AA,95.3333
上海公路桥梁（集团）有限公司,91310000132318272U,施工,,A,94.15
中铁大桥局集团有限公司,91420100177685789E,施工,,AA,97.2
上海隧道工程有限公司,91310104398689820Y,施工,,A,89
四川路航建设工程有限责任公司,9.151E+17,施工,,A,94.5
常州市交通设施有限公司,9.13204E+17,施工,,A,94
湖北省高速公路实业开发有限公司,91420000177577761J,施工,,A,94.5
中天交通建设投资集团有限公司,9.14206E+17,施工,,A,92.4
东栋宏业建设集团有限公司,91330481720060159U,施工,,AA,98.8
贵州桥梁建设集团有限责任公司,9152000021441265XG,施工,,AA,95
上海隧道工程有限公司,91310104398689820Y,施工,,A,89
中铁十八局集团有限公司,9112000010306009X2,施工,,A,92.5
中交一公局第四工程有限公司,9.14501E+17,施工,,AA,97
福建路港（集团）有限公司,91350500775358403B,施工,,A,92.8
上海市城市建设设计研究总院（集团）有限公司,91310101425004437C,设计,,AA,99.5
中北交通建设集团有限公司,9.161E+17,施工,,A,93.5
中国建筑第五工程局有限公司,91430000183764483Y,施工,,A,94
江苏中路交通发展有限公司,91320211703503720N,施工,,A,93.67
上海奉贤建设发展（集团）有限公司,9.131E+17,施工,,AA,99.3
湖南对外建设集团有限公司,91430000183767537H,施工,,A,94.8
浙江省隧道工程集团有限公司,9.133E+17,施工,,AA,95.05
中国建筑股份有限公司,9.111E+17,施工,,A,94.3333
中国建筑第八工程局有限公司,9131000063126503X1,施工,,AA,95.3333
腾达建设集团股份有限公司,9133000070469053XT,施工,,AA,100
上海建工集团股份有限公司,91310000631189305E,施工,,AA,96.5
中铁十五局集团有限公司,9.131E+17,施工,,A,94
中国铁建大桥工程局集团有限公司,91120116244997951G,施工,,AA,100
中国建筑股份有限公司,9.111E+17,施工,,A,94.3333
新疆北新路桥集团股份有限公司,9.165E+17,施工,,A,94.5
上海工程勘察设计有限公司,91310106133711957T,设计,,AA,99.5
杭州长虹路桥工程有限公司,9.13301E+17,施工,,A,94.5
浙江省机电设计研究院有限公司,91330000143055498X,施工,,AA,97.67
路安通智科技集团有限公司,9111010663379025X9,施工,,A,90
中能建华东润业工程建设有限公司,91330225793039932Y,施工,,AA,96.5
秦山伟业建设集团有限公司,9.13304E+17,施工,,D,59.8
浙江金顺路桥建设有限公司,9133078314755290XD,施工,,A,94
中国葛洲坝集团三峡建设工程有限公司,91420000615573462P,施工,,AA,98.5
浙江交工国际工程有限公司,91330000712561762Q,施工,,AA,95.15
中交一公局集团有限公司,9.111E+17,施工,,AA,96
河北建设集团股份有限公司,9.11306E+17,施工,,A,92
浙江交工金筑交通建设有限公司,91330000704204001H,施工,,AA,98.5
浙江路建交通工程有限公司,91331181729100110L,施工,,AA,95
云南康迪科技有限公司,91530000757199912A,施工,,A,94.8
安徽恒通交通工程有限公司,9.13401E+17,施工,,A,94
南京金长江交通设施有限公司,9.13201E+17,施工,,A,93.5
内蒙古新开元建设有限公司,9115020068654428X9,施工,,A,94.5
中冶交通建设集团有限公司,91110000783950087W,施工,,A,88.3
正平路桥建设股份有限公司,91630000226882472D,施工,,AA,97
广西路桥工程集团有限公司,91450000198227242F,施工,,A,94.8
中交第二公路工程局有限公司,91610000220521254B,施工,,AA,96.15
武汉市市政路桥有限公司,91420114587978381D,施工,,A,94.5
浙江交工国际工程有限公司,91330000712561762Q,施工,,AA,95.15
浙江交工集团股份有限公司,91330000712561789G,施工,,AA,97.09
中国建筑第五工程局有限公司,91430000183764483Y,施工,,A,92
浙江奔腾交通工程有限公司,91330122704267782R,施工,,A,94.5
中铁十局集团第二工程有限公司,91410100725839380G,施工,,A,91
杭州德胜交通设施有限公司,9.13301E+17,施工,,A,94
大成工程建设集团有限公司,91350200155000670L,施工,,A,93.5
中交二公局东萌工程有限公司,91610131MA6U0FBF96,施工,,AA,99.25
中铁二十五局集团有限公司,9144000019043049X8,施工,,A,94
湖南省湘筑交通科技有限公司,9.143E+17,施工,,A,94
河北中岗通讯工程有限公司,91130100700823614L,施工,,A,93.5
中建路桥集团有限公司,91130000401700454L,施工,,A,92
中铁四局集团第二工程有限公司,91320507151822239P,施工,,AA,96.5
浙江鼎盛交通建设有限公司,91330602730295621U,施工,,AA,97.4
湖州市交通工程建设集团有限公司,91330500146956830G,施工,,A,94.2
岳阳路桥集团有限公司,91430600186089540A,施工,,AA,95
湖州东田交通设施工程有限公司,9133050176867562XH,施工,,A,94
江苏海通建设工程有限公司,91320700750529771D,施工,,A,93.5
北京深华科交通工程有限公司,9.11101E+17,施工,,A,94.8
郑州市大道公路工程有限公司,91410100695965756N,施工,,A,91
中国建筑第六工程局有限公司,9.11201E+17,施工,,A,89
江西省交通工程集团有限公司,9136000015831160XA,施工,,A,94.5
浙江交工宏途交通建设有限公司,9.133E+17,施工,,AA,99.17
湖州市交通工程建设集团有限公司,91330500146956830G,施工,,A,94.2
浙江中控信息产业股份有限公司,91330000717612610R,施工,,AA,96.68
山东中宏路桥建设有限公司,91370600165003832N,施工,,A,94.5
中铁四局集团有限公司,9.134E+17,施工,,A,94.5
中铁二十一局集团第三工程有限公司,91610400221704247R,施工,,A,93
浙江省建投交通基础建设集团有限公司,9133000071761427XH,施工,,AA,95.65
宜春通达路桥建设有限公司,9136090074197913XX,施工,,A,94
中交第二公路工程局有限公司,91610000220521254B,施工,,AA,96.15
中交二公局东萌工程有限公司,91610131MA6U0FBF96,施工,,AA,99.25
江西方兴科技股份有限公司,91360000158299444T,施工,,A,94.5
安徽昌达路桥工程集团有限公司,9.13E+17,施工,,A,93.5
浙江大洋建设集团有限公司,9.13311E+17,施工,,AA,96.1
安徽天洋交通工程有限公司,91341181734976838L,施工,,A,94.5
中交第二航务工程局有限公司,9.14201E+17,施工,,AA,96
中能建华东润业工程建设有限公司,91330225793039932Y,施工,,AA,96.5
河南省祯祥路桥科技有限公司,91410100790621759Q,施工,,A,90.5
四川公路桥梁建设集团有限公司,9151000020181190XN,施工,,AA,96.1
新疆北新路桥集团股份有限公司,9.165E+17,施工,,A,94.5
南京交通工程有限公司,91320116134921745Y,施工,,A,87
中铁七局集团有限公司,9.141E+17,施工,,A,92
中铁二十四局集团有限公司,9.131E+17,施工,,AA,97.5
湖南省湘筑交通科技有限公司,9.143E+17,施工,,A,94
中亿丰建设集团股份有限公司,91320500137690962B,施工,,AA,99
中国建筑股份有限公司,9.111E+17,施工,,A,94.3333
吉林省科维交通工程有限公司,9.122E+17,施工,,A,94.2
湖州市交通工程建设集团有限公司,91330500146956830G,施工,,A,94.2
江西省路桥工程集团有限公司,91360000612447604D,施工,,AA,97
湖北交投建设集团有限公司,91420000096889202K,施工,,AA,95.95
中铁十四局集团第四工程有限公司,9.137E+17,施工,,AA,96
湖北工建基础设施建设有限公司,91420000177568101R,施工,,A,90
中铁二十局集团有限公司,91610000220523065J,施工,,A,93.8
中交建筑集团有限公司,9111000010123202XN,施工,,A,94
四川京川公路工程（集团）有限公司,91510100633114155W,施工,,A,94.5
中交第一航务工程局有限公司,9.112E+17,施工,,AA,100
中国铁建大桥工程局集团有限公司,91120116244997951G,施工,,AA,95
中交一公局集团有限公司,9.111E+17,施工,,AA,96
湖北省路桥集团有限公司,91420000177587177U,施工,,AA,95.7
上海金山公路建设有限公司,91310116134253249E,施工,,AA,95.9
中铁大桥局集团有限公司,91420100177685789E,施工,,AA,100
中国建筑第八工程局有限公司,9131000063126503X1,施工,,AA,100
东栋宏业建设集团有限公司,91330481720060159U,施工,,AA,98.8
中国中铁股份有限公司,91110000710935003U,施工,,AA,100
上海隧道工程有限公司,91310104398689820Y,施工,,AA,99.3
中铁十一局集团有限公司,91420000179315087R,施工,,AA,95.5
中铁四局集团有限公司,9.134E+17,施工,,AA,99.3
江苏镇江路桥工程有限公司,9.13211E+17,施工,,A,94
中铁二十四局集团有限公司,9.131E+17,施工,,AA,96.7
浙江交工集团股份有限公司,91330000712561789G,施工,,AA,100
中铁二十一局集团第三工程有限公司,91610400221704247R,施工,,A,94
中铁三局集团有限公司,91140000110104513E,施工,,A,94.5
上海建工集团股份有限公司,91310000631189305E,施工,,AA,99.6
湖北长江路桥有限公司,91420000732710171J,施工,,A,94.3333
大成工程建设集团有限公司,91350200155000670L,施工,,A,93.5
中铁二十四局集团有限公司,9.131E+17,施工,,AA,96.7
常州市交通设施有限公司,9.13204E+17,施工,,A,94
中铁十六局集团有限公司,9.111E+17,施工,,AA,95.7
中交建筑集团有限公司,9111000010123202XN,施工,,A,94
中铁一局集团有限公司,91610000220522345A,施工,,AA,100
江苏智运科技发展有限公司,91320000720581843G,施工,,A,94
杭州永通高速公路安全设施工程有限公司,91330101253947075T,施工,,AA,96
浙江众汇交通科技有限公司,91330604753020188F,施工,,A,94
上海公路桥梁（集团）有限公司,91310000132318272U,施工,,A,94.15
中铁大桥局集团有限公司,91420100177685789E,施工,,AA,100
江苏开通建设工程有限公司,91320800772019342P,施工,,A,94.8
中国一冶集团有限公司,9.14201E+17,施工,,A,94.5
蓝海建设集团有限公司,91340100786512461M,施工,,A,91.5
石家庄泛安科技开发有限公司,91130100601001930K,施工,,AA,99.5
中铁十五局集团第一工程有限公司,9161000011315230XJ,施工,,A,91.7
中铁大桥局集团有限公司,91420100177685789E,施工,,AA,97.2
福建省东任建设发展有限公司,91350600593482745B,施工,,AA,98
福建路港（集团）有限公司,91350500775358403B,施工,,A,92.8
上海建工集团股份有限公司,91310000631189305E,施工,,AA,96.5
中交基础设施养护集团有限公司,9.111E+17,施工,,A,94.6
湖北长江路桥有限公司,91420000732710171J,施工,,A,94.3333
中铁十五局集团有限公司,9.131E+17,施工,,A,94
湖北省高速公路实业开发有限公司,91420000177577761J,施工,,A,94.5
中国建筑第八工程局有限公司,9131000063126503X1,施工,,AA,95.3333
中交路桥建设有限公司,9111000059062789XU,施工,,AA,96
中交二航局第二工程有限公司,91500000778492034J,施工,,AA,99.5
浙江天一交通建设有限公司,9.1331E+17,施工,,AA,96.1
中铁十八局集团有限公司,9112000010306009X2,施工,,A,92.5
上海奉贤建设发展（集团）有限公司,9.131E+17,施工,,AA,99.3
中铁大桥局集团有限公司,91420100177685789E,施工,,AA,97.2
中国铁建大桥工程局集团有限公司,91120116244997951G,施工,,AA,95
浙江交工国际工程有限公司,91330000712561762Q,施工,,AA,95.15
中国建筑股份有限公司,9.111E+17,施工,,A,94.3333
浙江奔腾交通工程有限公司,91330122704267782R,施工,,A,94.5
四川公路桥梁建设集团有限公司,9151000020181190XN,施工,,AA,96.1
中国建筑第五工程局有限公司,91430000183764483Y,施工,,A,94
浙江省机电设计研究院有限公司,91330000143055498X,施工,,AA,97.67
新大陆数字技术股份有限公司,91350000154586155B,施工,,A,94.8
广西路桥工程集团有限公司,91450000198227242F,施工,,A,94.8
中交通力智建（陕西）建设有限公司,9.16101E+17,施工,,A,91.5
中铁十局集团第二工程有限公司,91410100725839380G,施工,,A,91
中国建筑第五工程局有限公司,91430000183764483Y,施工,,A,92
广西路桥工程集团有限公司,91450000198227242F,施工,,A,94.8
南京金长江交通设施有限公司,9.13201E+17,施工,,A,93.5
中建路桥集团有限公司,91130000401700454L,施工,,A,92
千方捷通科技股份有限公司,91110108744729267H,施工,,AA,100
中铁隧道局集团有限公司,91410300171075680N,施工,,AA,97.1
上海建工集团股份有限公司,91310000631189305E,施工,,AA,96.5
绍兴市振兴交通安全设施有限公司,9.13306E+17,施工,,AA,98
嘉兴市通明交通工程有限公司,9.13305E+17,施工,,A,94
四川路桥华东建设有限责任公司,91510122698859983K,施工,,A,92
四川京川公路工程（集团）有限公司,91510100633114155W,施工,,A,94.5
浙江联顺道路筑养科技有限公司,9.13301E+17,施工,,A,93.3
江西路通科技有限公司,91360100736395914J,施工,,A,93.5
浙江省建投交通基础建设集团有限公司,9133000071761427XH,施工,,AA,95.65
南京交通工程有限公司,91320116134921745Y,施工,,A,87
利越集团有限公司,91330783704583662N,施工,,A,94.65
中国铁建大桥工程局集团有限公司,91120116244997951G,施工,,AA,100
新大陆数字技术股份有限公司,91350000154586155B,施工,,A,94.8
中交二公局第六工程有限公司,9.161E+17,施工,,AA,96.75
四川路桥华东建设有限责任公司,91510122698859983K,施工,,A,92
浙江联顺道路筑养科技有限公司,9.13301E+17,施工,,A,93.3
中铁二局集团有限公司,91510100MA61RKR7X3,施工,,AA,96.3
江西路通科技有限公司,91360100736395914J,施工,,A,93.5
新大陆数字技术股份有限公司,91350000154586155B,施工,,A,94.8
江苏海通建设工程有限公司,91320700750529771D,施工,,A,93.5
江苏润扬交通工程集团有限公司,9.1321E+17,施工,,A,92
江西省交通工程集团有限公司,9136000015831160XA,施工,,A,94.5
杭州红萌交通设施有限公司,9.13301E+17,施工,,A,94
中亿丰建设集团股份有限公司,91320500137690962B,施工,,AA,99
中建三局集团有限公司,91420000757013137P,施工,,AA,95.75
中建路桥集团有限公司,91130000401700454L,施工,,A,92
浙江大洋建设集团有限公司,9.13311E+17,施工,,AA,96.1
浙江金顺路桥建设有限公司,9133078314755290XD,施工,,A,94
湖南省湘筑交通科技有限公司,9.143E+17,施工,,A,94
中国建筑第五工程局有限公司,91430000183764483Y,施工,,A,94
中交第二公路工程局有限公司,91610000220521254B,施工,,AA,95.88
杭州萧山交通规划设计研究院有限公司,9.13301E+17,设计,,AA,99
杭州军辉建设集团有限公司,91330106MA2GY60665,施工,,AA,95.5
中铁十五局集团有限公司,9.131E+17,施工,,A,94
杭州路达公路工程有限公司,91330100143073426N,施工,,AA,97.9
张家港华夏慧通交通工程有限公司,91320582302212877N,施工,,A,94
北京建工路桥集团有限公司,91110000722609328T,施工,,B,84.8
上海城建市政工程（集团）有限公司,9.131E+17,施工,,AA,96.8
中国建筑第七工程局有限公司,91410000169954619U,施工,,A,93.5
中国十七冶集团有限公司,91340500150501353B,施工,,A,92
通化公路工程有限公司,91220501244578925T,施工,,A,93
北京深华科交通工程有限公司,9.11101E+17,施工,,A,94.8
上海金山公路建设有限公司,91310116134253249E,施工,,AA,95.9
安徽建工公路桥梁建设集团有限公司,91340000148941069W,施工,,AA,95.15
中交一公局厦门工程有限公司,91350200155027398G,施工,,A,94
安徽择正公路工程有限责任公司,91340100798125135F,施工,,A,94.65
重庆交通建设（集团）有限责任公司,9150000076590006X7,施工,,A,94
辽宁交投艾特斯技术股份有限公司,91210100744349926A,施工,,A,94.5
中铁六局集团有限公司,91110108101884765M,施工,,A,94
中铁隧道局集团有限公司,91410300171075680N,施工,,AA,97.1
山西路桥建设集团有限公司,91140000110037824X,施工,,A,93.3
中铁二局集团有限公司,91510100MA61RKR7X3,施工,,AA,96.3
招商智翔道路科技（重庆）有限公司,91500108202945061L,施工,,A,94.8
中国铁建大桥工程局集团有限公司,91120116244997951G,施工,,AA,100
中铁二十一局集团有限公司,91620000224333621K,施工,,AA,96.5
江西省路桥工程集团有限公司,91360000612447604D,施工,,AA,97
义乌市中泽路桥有限公司,91330782MA2M15TK8J,施工,,A,94.8
杭州市交通工程集团有限公司,91330100470106715B,施工,,AA,96.29
浙江汉为工程设计有限公司,91330104056726724M,设计,,A,94.8
杭州萧山交通规划设计研究院有限公司,9.13301E+17,设计,,AA,99
中铁八局集团有限公司,91510100201973538N,施工,,AA,96
中铁五洲第二工程有限公司,91330283144515337L,施工,,AA,98
舟山市交通规划设计院,91330900MA28KB2C8R,设计,,AA,100
中铁第四勘察设计院集团有限公司,9.14201E+17,设计,,A,94.8
河南省中工设计研究院集团股份有限公司,91410100706774868X,设计,,AA,99
浙江中路交通设计有限公司,91330402737795928G,设计,,AA,97.88
中设科欣设计集团有限公司,91330000763933458B,设计,,AA,99.25
北京建达道桥咨询有限公司,91110109102336955F,设计,,AA,98.38
中交公路规划设计院有限公司,91110000100011866Y,设计,,AA,99.25
中交三公局第一工程有限公司,91110000694981041H,施工,,AA,100
中国交通建设股份有限公司,91110000710934369E,施工,,AA,97
湖州交通规划设计院,9.13305E+17,设计,,AA,100
宁波市交通规划设计研究院有限公司,91330212419532356D,设计,,AA,98.79
湖南省交通规划勘察设计院有限公司,9.143E+17,设计,,AA,99.57
江苏开通建设工程有限公司,91320800772019342P,施工,,AA,96.89
浙江天宇交通建设集团有限公司,91330602143002097K,施工,,A,93
苏交科集团股份有限公司,91320000741339087U,设计,,AA,99.75
安徽择正公路工程有限责任公司,91340100798125135F,施工,,A,94.5
中交机电工程局有限公司,91110000067323023E,施工,,A,91
中交一公局第三工程有限公司,91110000102400689N,施工,,AA,97.22
湖州交通规划设计院,9.13305E+17,设计,,AA,100
常州市交通设施有限公司,9.13204E+17,施工,,AA,96.42
江苏长城交通设施设备有限公司,9.13201E+17,施工,,AA,96.56
中交第一公路勘察设计研究院有限公司,9.161E+17,设计,,AA,99.17
舟山市交通规划设计院,91330900MA28KB2C8R,设计,,AA,100
南京交通工程有限公司,91320116134921745Y,施工,,AA,97.63
宁波市交通规划设计研究院有限公司,91330212419532356D,设计,,AA,98.79
江苏常鑫路桥集团有限公司,91320411467286663P,施工,,AA,97.58
江苏通用路桥工程有限公司,91320481137575550L,施工,,A,94.5
中铁十九局集团有限公司,91110000122027391R,施工,,A,94.4
浙江交工集团股份有限公司,91330000712561789G,设计,,AA,100
中铁建城建交通发展有限公司,91320505222192167H,施工,,AA,97.54
中铁十四局集团有限公司,9.137E+17,施工,,AA,96
中铁大桥局集团有限公司,91420100177685789E,施工,,AA,97.8
中铁隧道局集团有限公司,91410300171075680N,施工,,AA,96.75
昆山市交通工程集团有限公司,91320583251272692K,施工,,AA,97
湖南省湘筑交通科技有限公司,9.143E+17,施工,,A,94.5
江苏无锡交通设施有限公司,91320205752040574P,施工,,A,94.5
中交机电工程局有限公司,91110000067323023E,施工,,A,91
广东冠粤路桥有限公司,91440000231129768U,施工,,A,94.5
中交第二航务工程局有限公司,9.14201E+17,施工,,AA,98.32
中铁十八局集团第五工程有限公司,9112011610861301XJ,施工,,A,94.5
